indices,samples,attributes,classes,time,n_outliers,TP,FP,TN,FN,PPV,NPV,sensitivity,specificity
376,10000,250,11,,9,0,9,9491,500,0,95,0,99.91
377,25000,10,2,,4447,236,4211,19539,1014,5.31,95.07,18.88,82.27
378,25000,50,2,,785,58,727,23023,1192,7.39,95.08,4.64,96.94
379,25000,75,2,,415,26,389,23361,1224,6.27,95.02,2.08,98.36
380,25000,100,2,,353,20,333,23417,1230,5.67,95.01,1.6,98.6
381,25000,250,2,,29,2,27,23723,1248,6.9,95,0.16,99.89
382,25000,10,3,,4061,213,3848,19902,1037,5.25,95.05,17.04,83.8
383,25000,50,3,,762,37,725,23025,1213,4.86,95,2.96,96.95
384,25000,75,3,,344,21,323,23427,1229,6.1,95.02,1.68,98.64
385,25000,100,3,,184,6,178,23572,1244,3.26,94.99,0.48,99.25
386,25000,250,3,,32,0,32,23718,1250,0,94.99,0,99.87
387,25000,10,5,,3847,201,3646,20104,1049,5.22,95.04,16.08,84.65
388,25000,50,5,,529,31,498,23252,1219,5.86,95.02,2.48,97.9
389,25000,75,5,,269,14,255,23495,1236,5.2,95,1.12,98.93
390,25000,100,5,,173,4,169,23581,1246,2.31,94.98,0.32,99.29
391,25000,250,5,,41,0,41,23709,1250,0,94.99,0,99.83
392,25000,10,7,,3752,169,3583,20167,1081,4.5,94.91,13.52,84.91
393,25000,50,7,,588,37,551,23199,1213,6.29,95.03,2.96,97.68
394,25000,75,7,,405,20,385,23365,1230,4.94,95,1.6,98.38
395,25000,100,7,,200,15,185,23565,1235,7.5,95.02,1.2,99.22
396,25000,250,7,,42,3,39,23711,1247,7.14,95,0.24,99.84
397,25000,10,9,,3829,155,3674,20076,1095,4.05,94.83,12.4,84.53
398,25000,50,9,,788,40,748,23002,1210,5.08,95,3.2,96.85
399,25000,75,9,,167,3,164,23586,1247,1.8,94.98,0.24,99.31
400,25000,100,9,,120,3,117,23633,1247,2.5,94.99,0.24,99.51
401,25000,250,9,,53,6,47,23703,1244,11.32,95.01,0.48,99.8
402,25000,10,11,,4086,178,3908,19842,1072,4.36,94.87,14.24,83.55
403,25000,50,11,,869,40,829,22921,1210,4.6,94.99,3.2,96.51
404,25000,75,11,,249,15,234,23516,1235,6.02,95.01,1.2,99.01
405,25000,100,11,,232,7,225,23525,1243,3.02,94.98,0.56,99.05
406,25000,250,11,,17,0,17,23733,1250,0,95,0,99.93
