indices,samples,attributes,classes,time,n_outliers,TP,FP,TN,FN,PPV,NPV,sensitivity,specificity
39,500,50,3,,169,9,160,315,16,5.33,95.17,36,66.32
40,500,60,3,,174,8,166,309,17,4.6,94.79,32,65.05
41,500,70,3,,198,8,190,285,17,4.04,94.37,32,60
42,500,75,3,,207,10,197,278,15,4.83,94.88,40,58.53
43,500,10,4,,40,4,36,439,21,10,95.43,16,92.42
44,500,20,4,,65,0,65,410,25,0,94.25,0,86.32
45,500,25,4,,90,5,85,390,20,5.56,95.12,20,82.11
46,500,30,4,,111,2,109,366,23,1.8,94.09,8,77.05
47,500,40,4,,124,6,118,357,19,4.84,94.95,24,75.16
48,500,50,4,,153,8,145,330,17,5.23,95.1,32,69.47
49,500,60,4,,187,9,178,297,16,4.81,94.89,36,62.53
50,500,70,4,,185,10,175,300,15,5.41,95.24,40,63.16
51,500,75,4,,196,6,190,285,19,3.06,93.75,24,60
52,500,10,5,,37,2,35,440,23,5.41,95.03,8,92.63
53,500,20,5,,65,4,61,414,21,6.15,95.17,16,87.16
54,500,25,5,,106,6,100,375,19,5.66,95.18,24,78.95
55,500,30,5,,104,4,100,375,21,3.85,94.7,16,78.95
56,500,40,5,,140,5,135,340,20,3.57,94.44,20,71.58
57,500,50,5,,149,5,144,331,20,3.36,94.3,20,69.68
58,500,60,5,,175,7,168,307,18,4,94.46,28,64.63
59,500,70,5,,202,10,192,283,15,4.95,94.97,40,59.58
60,500,75,5,,209,11,198,277,14,5.26,95.19,44,58.32
61,1000,10,2,,53,3,50,900,47,5.66,95.04,6,94.74
62,1000,20,2,,137,6,131,819,44,4.38,94.9,12,86.21
63,1000,25,2,,171,12,159,791,38,7.02,95.42,24,83.26
64,1000,30,2,,178,7,171,779,43,3.93,94.77,14,82
65,1000,40,2,,233,12,221,729,38,5.15,95.05,24,76.74
66,1000,50,2,,250,10,240,710,40,4,94.67,20,74.74
67,1000,60,2,,345,17,328,622,33,4.93,94.96,34,65.47
68,1000,70,2,,376,18,358,592,32,4.79,94.87,36,62.32
69,1000,75,2,,396,19,377,573,31,4.8,94.87,38,60.32
70,1000,80,2,,420,23,397,553,27,5.48,95.34,46,58.21
71,1000,90,2,,444,20,424,526,30,4.5,94.6,40,55.37
72,1000,100,2,,517,31,486,464,19,6,96.07,62,48.84
73,1000,10,3,,50,2,48,902,48,4,94.95,4,94.95
74,1000,20,3,,126,7,119,831,43,5.56,95.08,14,87.47
75,1000,25,3,,173,10,163,787,40,5.78,95.16,20,82.84
76,1000,30,3,,181,7,174,776,43,3.87,94.75,14,81.68
77,1000,40,3,,253,14,239,711,36,5.53,95.18,28,74.84
78,1000,50,3,,297,17,280,670,33,5.72,95.31,34,70.53
79,1000,60,3,,344,19,325,625,31,5.52,95.27,38,65.79
80,1000,70,3,,388,20,368,582,30,5.15,95.1,40,61.26
81,1000,75,3,,406,18,388,562,32,4.43,94.61,36,59.16
82,1000,80,3,,411,21,390,560,29,5.11,95.08,42,58.95
83,1000,90,3,,459,22,437,513,28,4.79,94.82,44,54
84,1000,100,3,,497,25,472,478,25,5.03,95.03,50,50.32
85,1000,10,4,,76,1,75,875,49,1.32,94.7,2,92.11
86,1000,20,4,,137,8,129,821,42,5.84,95.13,16,86.42
